date,mileage,service,note
7/30/2020,5.0,PDI Service,PDI service at dealer
7/30/2020,5.0,Pre-delivery inspection,Frontier Toyota pre-delivery inspection completed
7/30/2020,5.0,Vehicle Serviced,AutoCheck record vehicle serviced
7/30/2020,5.0,collant flushed,AutoCheck record vehicle serviced
7/30/2020,5.0,Brake fluid flushed/changed,AutoCheck record vehicle serviced
9/23/2021,2639.0,Maintenance + Tire Rotation + Inspection,"Maintenance done, tire rotation, multi-point inspection, brakes measured 11mm/9mm, tire PSI 35"
9/23/2021,2639.0,Tires rotated,Frontier Toyota service
9/23/2021,2639.0,Safety + Maintenance,"Safety inspection, multiple point inspection, recommended maintenance, brakes and tires service"
8/24/2022,7717.0,10k Service,"10k synthetic service with tire rotation, 4 wheel alignment, brakes 8mm, tire PSI 36"
8/24/2022,7717.0,Tires rotated,
8/24/2022,7717.0,Oil and filter changed,
8/24/2022,7717.0,Service,Frontier Toyota service
8/24/2022,7717.0,Safety + Maintenance,"Safety inspection, multiple point inspection, engine serviced, wipers, brakes"
7/25/2024,13748.0,Oil and filter changed,"Performed LOF special, oil 0W-20"
7/25/2024,13748.0,Maintenance inspection + Oil/Filter,Frontier Toyota maintenance inspection
7/25/2024,13748.0,Inspection,Multiple point inspection
3/20/2025,15671.0,Emission Inspection,Passed California emissions inspection
3/20/2025,15671.0,Emission Inspection,Passed CA emissions inspection
8/27/2025,16483.0,Multi-point Inspection,Car Aid Troy Pre-purchase inspection completed
8/27/2025,16487.0,Four tires replaced,Belle Tire
8/27/2025,16487.0,Thrust angle alignment,Belle Tire
09/01/2025,16530.0,Cabin Filter Replacement,
09/01/2025,16530.0,Engine Air Filter Replacement,
09/08/2025,16603.0,Oil & Filter Change,
11/15/2025,17480.0,Coolant Flush (Initial),Prestone Platinum Asian Red Antifreeze & Coolant
